outlet_name,outlet_address
湖北民泰矿业有限公司后湾磷矿矿山排污口,宜昌市夷陵区邓村乡白云寺大桥南侧600米
宜昌市夷陵区邓村乡黄金河小桥入河排口,宜昌市夷陵区邓村乡黄金河小桥
"宜昌市夷陵区邓村古城一级电站尾水排口
",宜昌市夷陵区邓村古城一级电站
宜昌市夷陵区雾渡河镇污水处理厂入河排口,宜昌市夷陵区雾渡河镇清江坪村
宜昌市夷陵区邓村乡117乡道2号入河排口,宜昌市夷陵区邓村乡117乡道旁
