区县名称,排污口数量
夷陵区,889
宜都市,706
秭归县,522
当阳市,515
长阳土家族自治县,487
枝江市,427
点军区,326
兴山县,318
五峰土家族自治县,201
西陵区,181
猇亭区,180
远安县,165
伍家岗区,99
高新区,85
