区县名称,排污口数量,监测记录数量
夷陵区,889,933
宜都市,706,776
秭归县,522,564
当阳市,515,667
长阳土家族自治县,487,530
枝江市,427,487
点军区,326,341
兴山县,318,384
五峰土家族自治县,201,220
西陵区,181,227
猇亭区,180,206
远安县,165,269
伍家岗区,99,124
高新区,85,99
