outlet_name,outlet_address
宜昌市点军区土城乡三涧溪小河村1#其他排口,土城乡小河
宜昌市点军区土城乡土家阁饭店东南180米城镇雨洪排口,土家阁饭店东南180米
宜昌市点军区奤子岗东北处100米城镇雨洪排囗,湖北省宜昌市点军区点军街道夷桥路
宜昌市点军区联棚乡云松庭院2#沟渠入河排口,云松庭院东50米
宜昌市点军区联棚乡云松庭院3#沟渠入河排口,云松庭院拦水坝上游10米
