outlet_name,outlet_address
中海油化学宜昌矿业有限公司杉树垭西部磷矿矿山排污口,宜昌市夷陵区樟村坪镇
夷陵区官庄水厂及配套管网工程其他排污口,宜昌市夷陵区小溪塔街道官庄村
宜昌市三峡地区百里荒片区生态环境系统污水处理厂排污口,夷陵区分乡镇普溪河村
宜昌市伍家岗区稻花香大桥城镇雨洪排口,宜昌市伍家岗区稻花香大桥
宜昌市夷陵区+三峡通航管理局往南200米点源入长江城镇雨洪排口,湖北省宜昌市夷陵区三峡坝区平湖大道
