column_name,data_type
id,bigint
outlet_id,bigint
is_remediated,character varying
remediation_type,character varying
remediation_video,character varying
supporting_docs,character varying
is_standardized,character varying
standardization_content,character varying
create_by,bigint
create_time,timestamp without time zone
update_by,bigint
update_time,timestamp without time zone
del_flag,character varying
outlet_name,character varying
